"host_response_rate" "host_acceptance_rate" "host_response_time" "host_is_superhost"
"58" 67 NA "within a day" "f"
"59" 100 100 "within an hour" "f"
"60" NA NA "N/A" "f"
"61" NA NA "N/A" "f"
"62" 100 80 "within a day" "f"
"63" NA NA "N/A" "f"
"64" 75 100 "within an hour" "f"
"65" NA NA "N/A" "f"
"66" 100 33 "within an hour" "f"
"67" 100 100 "within an hour" "f"
"68" 100 NA "within a day" "f"
"69" NA NA "N/A" "f"
"70" 100 80 "within an hour" "f"
"71" 100 NA "within a day" "f"
"72" 100 NA "within a day" "f"
"73" 100 NA "within a few hours" "f"
"74" 100 100 "within an hour" "f"
"75" 80 50 "within a day" "f"
"76" 100 100 "within an hour" "f"
"77" NA NA "N/A" "f"
"78" 70 67 "within a day" "f"
"79" 100 100 "within an hour" "f"
"80" 86 NA "within a day" "f"
"81" NA NA "N/A" "f"
"82" 100 100 "within an hour" "f"
"83" 82 81 "within a day" "f"
"84" NA NA "N/A" "f"
"85" NA NA "N/A" "f"
"86" 100 NA "within a day" "f"
"87" 100 100 "within an hour" "f"
"88" NA NA "N/A" "f"
"89" 100 100 "within a day" "f"
"90" NA NA "N/A" "f"
"91" 33 100 "a few days or more" "f"
"92" 50 NA "within a day" "f"
"93" 100 100 "within an hour" "f"
"94" 100 100 "within an hour" "f"
"95" NA NA "N/A" "f"
"96" 70 100 "within an hour" "f"
"97" 100 NA "within a day" "f"
"98" NA NA "N/A" "f"
"99" 100 50 "within a day" "f"
"100" 100 59 "within a day" "f"
"101" NA NA "N/A" "f"
"102" 91 80 "within a few hours" "f"
"103" 100 100 "within a few hours" "f"
"104" 90 67 "within a few hours" "f"
"105" 100 100 "within a few hours" "f"
"106" 83 NA "within a day" "f"
"107" NA NA "N/A" "f"
"108" 67 NA "within an hour" "f"
"109" 93 100 "within a day" "f"
"110" NA NA "N/A" "f"
"111" NA NA "N/A" "f"
"112" 100 NA "within a few hours" "f"
"113" NA NA "N/A" "f"
"114" NA NA "N/A" "f"
"115" NA NA "N/A" "f"
"116" 100 0 "within an hour" "f"
"117" 100 100 "within a few hours" "f"
"118" NA NA "N/A" "f"
"119" 100 NA "within a few hours" "f"
"120" 100 NA "within an hour" "f"
"121" NA NA "N/A" "f"
"122" NA NA "" ""
"123" 50 100 "within a day" "f"
"124" NA NA "N/A" "f"
"125" 100 100 "within a day" "f"
"126" 60 86 "within a day" "f"
"127" NA NA "N/A" "f"
"128" NA NA "N/A" "f"
"129" 100 100 "within an hour" "t"
"130" 20 100 "a few days or more" "f"
"131" NA NA "N/A" "f"
"132" NA NA "N/A" "f"
"133" 89 0 "within a few hours" "f"
"134" 90 100 "within an hour" "f"
"135" NA NA "N/A" "f"
"136" NA NA "N/A" "f"
"137" 30 100 "a few days or more" "f"
"138" NA NA "N/A" "f"
"139" NA NA "N/A" "f"
"140" 100 78 "within a few hours" "f"
"141" 100 100 "within an hour" "f"
"142" NA NA "N/A" "f"
"143" 15 100 "a few days or more" "f"
"144" NA NA "N/A" "f"
"145" NA NA "N/A" "f"
"146" 90 100 "within an hour" "f"
"147" NA NA "N/A" "f"
"148" NA NA "N/A" "f"
"149" 100 NA "within an hour" "f"
"150" 100 67 "within an hour" "f"
"151" NA NA "N/A" "f"
"152" 80 100 "within a few hours" "f"
"153" NA NA "N/A" "f"
"154" 100 92 "within a few hours" "f"
"155" 100 100 "within a day" "f"
"156" 100 100 "within an hour" "t"
"157" NA NA "N/A" "f"
"158" 100 52 "within a few hours" "f"
"159" NA NA "N/A" "f"
"160" NA NA "N/A" "f"
"161" 100 NA "within a few hours" "f"
"162" NA NA "N/A" "f"
"163" 33 67 "a few days or more" "f"
"164" 86 33 "within a few hours" "f"
"165" NA NA "N/A" "f"
"166" NA NA "N/A" "f"
"167" 100 NA "within a few hours" "f"
"168" 90 100 "within a day" "f"
"169" 60 86 "within a day" "f"
"170" 100 100 "within an hour" "f"
"171" 94 100 "within a few hours" "f"
"172" 100 25 "within a day" "f"
"173" NA NA "N/A" "f"
"174" NA NA "N/A" "f"
"175" NA NA "N/A" "f"
"176" NA NA "N/A" "f"
"177" 100 NA "within a few hours" "f"
"178" 100 33 "within a few hours" "f"
"179" NA NA "N/A" "f"
"180" 80 80 "within a day" "f"
"181" NA NA "N/A" "f"
"182" NA NA "N/A" "f"
"183" NA NA "N/A" "f"
"184" NA NA "N/A" "f"
"185" NA NA "N/A" "f"
"186" 80 67 "within a day" "f"
"187" NA NA "N/A" "f"
"188" 100 74 "within a few hours" "f"
"189" NA NA "N/A" "f"
"190" 100 100 "within an hour" "f"
"191" 100 88 "within a few hours" "f"
"192" 90 96 "within a day" "f"
"193" NA NA "N/A" "f"
"194" 40 50 "a few days or more" "f"
"195" 88 75 "within a day" "f"
"196" 100 100 "within an hour" "f"
"197" 100 NA "within an hour" "f"
"198" 100 100 "within an hour" "f"
"199" 100 100 "within an hour" "f"
"200" 100 0 "within a day" "f"
"201" 70 67 "within a day" "f"
"202" NA NA "N/A" "f"
"203" 100 100 "within an hour" "f"
"204" 100 100 "within a few hours" "f"
"205" 100 100 "within an hour" "t"
"206" 90 100 "within a day" "f"
"207" 100 100 "within an hour" "f"
"208" NA NA "N/A" "f"
"209" 100 100 "within a day" "t"
"210" 100 100 "within a few hours" "f"
"211" 100 100 "within an hour" "f"
"212" 30 100 "a few days or more" "f"
"213" 100 100 "within an hour" "f"
"214" 100 100 "within an hour" "f"
"215" 100 100 "within an hour" "f"
"216" 100 100 "within an hour" "f"
"217" 100 100 "within a day" "f"
"218" 100 100 "within a few hours" "f"
"219" 50 NA "within a day" "f"
"220" 100 100 "within a few hours" "f"
"221" NA NA "N/A" "f"
"222" NA NA "N/A" "f"
"223" 100 100 "within a day" "f"
"224" 100 100 "within a few hours" "f"
"225" 100 100 "within a few hours" "f"
"226" NA NA "N/A" "f"
"227" NA NA "N/A" "f"
"228" 100 67 "within a day" "f"
"229" NA NA "N/A" "f"
"230" 100 82 "within an hour" "f"
"231" 100 50 "within a day" "f"
"232" 100 NA "within a few hours" "f"
"233" 100 100 "within an hour" "f"
"234" 88 100 "within an hour" "f"
"235" 100 87 "within an hour" "f"
"236" 100 100 "within an hour" "f"
"237" 100 100 "within a few hours" "f"
"238" 88 83 "within a few hours" "f"
"239" NA NA "N/A" "f"
"240" 100 96 "within an hour" "f"
"241" NA NA "N/A" "f"
"242" NA NA "N/A" "f"
"243" 100 100 "within an hour" "f"
"244" 100 100 "within an hour" "f"
"245" 80 73 "within a day" "f"
"246" NA NA "N/A" "f"
"247" 100 100 "within a few hours" "f"
"248" 100 NA "within a few hours" "f"
"249" 100 100 "within an hour" "f"
"250" 100 83 "within an hour" "f"
"251" NA NA "N/A" "f"
"252" 90 100 "within a few hours" "f"
"253" 100 NA "within an hour" "f"
"254" 100 86 "within a day" "f"
"255" 80 100 "within a day" "f"
"256" 90 100 "within a few hours" "f"
"257" 100 100 "within a few hours" "f"
"258" 100 84 "within an hour" "f"
"259" 100 91 "within an hour" "f"
"260" 100 67 "within a day" "f"
"261" 100 NA "within a few hours" "f"
"262" 100 85 "within an hour" "f"
"263" NA NA "N/A" "f"
"264" NA NA "N/A" "f"
"265" 89 100 "within a few hours" "f"
"266" 100 NA "within a few hours" "f"
"267" 100 100 "within an hour" "f"
"268" 33 100 "a few days or more" "f"
"269" NA NA "N/A" "f"
"270" 100 100 "within a few hours" "f"
"271" 100 92 "within an hour" "f"
"272" 88 100 "within an hour" "f"
"273" 100 100 "within an hour" "f"
"274" 100 67 "within a day" "f"
"275" 100 NA "within a few hours" "f"
"276" 100 100 "within an hour" "f"
"277" NA NA "N/A" "f"
"278" 100 63 "within a few hours" "f"
"279" 88 100 "within a day" "f"
"280" 100 100 "within an hour" "f"
"281" NA NA "N/A" "f"
"282" 100 100 "within a day" "f"
"283" NA NA "N/A" "f"
"284" NA NA "N/A" "f"
"285" 60 60 "within a day" "f"
"286" 100 100 "within an hour" "f"
"287" 100 75 "within an hour" "f"
"288" 100 78 "within a day" "f"
"289" 100 86 "within a few hours" "f"
"290" 100 100 "within an hour" "f"
"291" 100 100 "within an hour" "f"
"292" 100 100 "within a day" "f"
"293" NA NA "N/A" "f"
"294" 100 100 "within a few hours" "f"
"295" 100 100 "within an hour" "f"
"296" 70 100 "within a day" "f"
"297" 100 100 "within an hour" "f"
"298" 80 100 "within a day" "f"
"299" 94 72 "within a few hours" "f"
"300" 58 100 "within a day" "f"
"301" 100 100 "within an hour" "f"
"302" 100 80 "within an hour" "f"
"303" NA NA "N/A" "f"
"304" NA NA "N/A" "f"
"305" 67 NA "within a day" "f"
"306" 91 67 "within a few hours" "f"
"307" NA NA "N/A" "f"
"308" 90 100 "within a few hours" "t"
"309" 80 100 "within an hour" "f"
"310" 100 86 "within an hour" "f"
"311" NA NA "N/A" "f"
"312" 82 92 "within a few hours" "f"
"313" NA NA "N/A" "f"
"314" 100 NA "within a day" "f"
"315" 50 50 "within a day" "f"
"316" 67 100 "within a day" "f"
"317" NA NA "N/A" "f"
"318" 100 100 "within an hour" "f"
"319" 100 NA "within an hour" "f"
"320" 100 100 "within an hour" "f"
"321" 100 100 "within a few hours" "f"
"322" NA NA "N/A" "f"
"323" 100 100 "within an hour" "f"
"324" NA NA "N/A" "f"
"325" 100 100 "within a day" "f"
"326" 100 100 "within an hour" "f"
"327" 100 100 "within a few hours" "f"
"328" 90 71 "within an hour" "t"
"329" NA NA "N/A" "f"
"330" 100 100 "within an hour" "f"
"331" 80 100 "within a few hours" "f"
"332" 94 100 "within a few hours" "f"
"333" 100 NA "within a day" "f"
"334" 100 100 "within an hour" "f"
"335" 80 100 "within an hour" "f"
"336" NA NA "N/A" "f"
"337" NA NA "N/A" "f"
"338" 100 100 "within a few hours" "f"
"339" 100 100 "within an hour" "f"
"340" 100 100 "within an hour" "f"
"341" NA NA "N/A" "f"
"342" 100 100 "within an hour" "f"
"343" 67 NA "within a few hours" "f"
"344" 60 100 "within a day" "f"
"345" 100 93 "within a few hours" "t"
"346" 92 88 "within an hour" "f"
"347" NA NA "N/A" "f"
"348" 100 100 "within a few hours" "f"
"349" 100 100 "within an hour" "f"
"350" 100 83 "within a few hours" "f"
"351" NA NA "N/A" "f"
"352" 100 100 "within a few hours" "f"
"353" 81 70 "within a day" "f"
"354" 100 100 "within an hour" "f"
"355" 100 80 "within a few hours" "f"
"356" 90 100 "within an hour" "f"
"357" 100 100 "within an hour" "f"
"358" 100 96 "within a few hours" "t"
"359" 100 100 "within a few hours" "f"
"360" 100 100 "within an hour" "f"
"361" 100 79 "within an hour" "f"
"362" 100 100 "within an hour" "f"
"363" NA NA "N/A" "f"
"364" NA NA "N/A" "f"
"365" 100 100 "within an hour" "f"
"366" 90 40 "within a few hours" "f"
"367" 100 97 "within a few hours" "f"
"368" 47 100 "a few days or more" "f"
"369" 100 100 "within a few hours" "f"
"370" NA NA "N/A" "f"
"371" 40 50 "a few days or more" "f"
"372" NA NA "N/A" "f"
"373" 100 81 "within a few hours" "f"
"374" 100 100 "within an hour" "f"
"375" 50 100 "within a day" "f"
"376" 100 NA "within a day" "f"
"377" 100 100 "within an hour" "f"
"378" 100 67 "within an hour" "f"
"379" NA NA "N/A" "f"
"380" 100 100 "within an hour" "f"
"381" 100 100 "within an hour" "f"
"382" NA NA "N/A" "f"
"383" 100 100 "within a few hours" "f"
"384" 100 100 "within an hour" "f"
"385" 100 86 "within a few hours" "f"
"386" 100 87 "within an hour" "f"
"387" 95 100 "within an hour" "f"
"388" NA NA "N/A" "f"
"389" 100 100 "within a day" "f"
"390" 100 100 "within a few hours" "f"
"391" NA NA "N/A" "f"
"392" 100 100 "within an hour" "f"
"393" 100 100 "within a few hours" "f"
"394" 100 80 "within a few hours" "f"
"395" 100 NA "within a few hours" "f"
"396" 50 NA "within a day" "f"
"397" NA NA "N/A" "f"
"398" NA NA "N/A" "f"
"399" NA NA "N/A" "f"
"400" NA NA "N/A" "f"
"401" NA NA "N/A" "f"
"402" 100 100 "within a few hours" "f"
"403" 50 NA "within a day" "f"
"404" NA NA "N/A" "f"
"405" NA NA "N/A" "f"
"406" 100 50 "within a day" "f"
"407" 100 100 "within an hour" "f"
"408" NA NA "N/A" "f"
"409" NA NA "N/A" "f"
"410" 100 75 "within an hour" "f"
"411" 80 100 "within a few hours" "f"
"412" 100 100 "within an hour" "f"
"413" NA NA "N/A" "f"
"414" NA NA "N/A" "f"
"415" NA NA "N/A" "f"
"416" 100 94 "within an hour" "f"
"417" NA 100 "N/A" "f"
"418" 71 0 "within a few hours" "f"
"419" 100 33 "within a few hours" "f"
"420" NA NA "N/A" "f"
"421" 90 70 "within a day" "f"
"422" NA NA "N/A" "f"
"423" 100 80 "within a few hours" "f"
"424" 100 NA "within an hour" "f"
"425" 100 NA "within a day" "f"
"426" 70 100 "within a day" "f"
"427" NA NA "N/A" "f"
"428" 80 90 "within a day" "f"
"429" NA NA "N/A" "f"
"430" NA NA "N/A" "f"
"431" NA NA "N/A" "f"
"432" NA NA "" ""
"433" 80 100 "within a day" "f"
"434" 100 0 "within a day" "f"
"435" NA NA "N/A" "f"
"436" 100 NA "within an hour" "f"
"437" 100 50 "within a few hours" "f"
"438" NA NA "N/A" "f"
"439" 100 100 "within a day" "f"
"440" NA NA "N/A" "f"
"441" 100 100 "within an hour" "f"
"442" NA NA "N/A" "f"
"443" NA NA "N/A" "f"
"444" 78 67 "within a day" "f"
"445" NA NA "N/A" "f"
"446" 100 67 "within an hour" "f"
"447" 90 60 "within a day" "f"
"448" 100 100 "within a few hours" "f"
"449" NA NA "N/A" "f"
"450" 100 80 "within an hour" "f"
"451" 100 100 "within a day" "f"
"452" NA NA "N/A" "f"
"453" 70 100 "within a day" "f"
"454" 100 67 "within a few hours" "f"
"455" 100 100 "within an hour" "f"
"456" 70 88 "within a day" "f"
"457" 100 100 "within an hour" "f"
"458" 100 100 "within a few hours" "f"
"459" 78 100 "within a day" "f"
"460" 100 75 "within a few hours" "f"
"461" 100 100 "within an hour" "f"
"462" NA NA "N/A" "f"
"463" NA NA "N/A" "f"
"464" 100 NA "within a day" "f"
"465" 100 44 "within a few hours" "f"
"466" 88 100 "within a few hours" "f"
"467" NA NA "N/A" "f"
"468" 100 57 "within a few hours" "t"
"469" 82 100 "within a few hours" "f"
"470" 100 91 "within an hour" "f"
"471" 100 100 "within an hour" "f"
"472" NA NA "N/A" "f"
"473" 100 75 "within a few hours" "f"
"474" 80 63 "within a day" "f"
"475" 90 87 "within a few hours" "f"
"476" 100 100 "within a few hours" "f"
"477" 95 100 "within a few hours" "f"
"478" NA NA "N/A" "f"
"479" 100 NA "within a few hours" "f"
"480" NA NA "N/A" "f"
"481" 100 100 "within a day" "f"
"482" 89 100 "within a few hours" "f"
"483" NA NA "N/A" "f"
"484" NA NA "N/A" "f"
"485" NA NA "N/A" "f"
"486" 100 100 "within an hour" "f"
"487" NA NA "N/A" "f"
"488" NA NA "N/A" "f"
"489" 100 100 "within an hour" "f"
"490" 100 78 "within an hour" "f"
"491" 100 82 "within a day" "f"
"492" NA NA "N/A" "f"
"493" NA NA "N/A" "f"
"494" 100 100 "within an hour" "f"
"495" NA NA "N/A" "f"
"496" 100 75 "within an hour" "f"
"497" 81 100 "within an hour" "f"
"498" 100 100 "within an hour" "f"
"499" 100 100 "within an hour" "f"
"500" NA NA "N/A" "f"
"501" NA NA "N/A" "f"
"502" NA NA "N/A" "f"
"503" 100 50 "within a few hours" "f"
"504" 100 80 "within a day" "f"
"505" 100 100 "within an hour" "f"
"506" NA NA "N/A" "f"
"507" NA NA "N/A" "f"
"508" NA NA "N/A" "f"
"509" 100 100 "within an hour" "f"
"510" 80 100 "within a few hours" "f"
"511" NA NA "N/A" "f"
"512" 100 100 "within an hour" "f"
"513" NA NA "N/A" "f"
"514" NA NA "N/A" "f"
"515" 100 100 "within a day" "f"
"516" 100 100 "within an hour" "f"
"517" 100 100 "within an hour" "f"
"518" 100 78 "within an hour" "f"
"519" 100 100 "within a few hours" "f"
"520" NA NA "N/A" "f"
"521" NA NA "N/A" "f"
"522" 100 85 "within an hour" "f"
"523" NA NA "N/A" "f"
"524" 70 100 "within a few hours" "f"
"525" NA NA "N/A" "f"
"526" 100 0 "within an hour" "f"
"527" 100 50 "within a few hours" "f"
"528" NA NA "N/A" "f"
"529" NA NA "N/A" "f"
"530" 100 100 "within an hour" "f"
"531" 100 73 "within a few hours" "f"
"532" 100 NA "within a day" "f"
"533" NA NA "N/A" "f"
"534" 100 100 "within a few hours" "f"
"535" 60 100 "within a day" "f"
"536" 100 100 "within an hour" "f"
"537" 100 100 "within an hour" "f"
"538" NA NA "N/A" "f"
"539" NA NA "N/A" "f"
"540" 96 98 "within an hour" "f"
"541" NA NA "N/A" "f"
"542" NA NA "N/A" "f"
"543" 91 81 "within a few hours" "f"
"544" NA NA "N/A" "f"
"545" NA NA "N/A" "f"
"546" NA NA "N/A" "f"
"547" NA NA "N/A" "f"
"548" 100 NA "within an hour" "f"
"549" 100 100 "within an hour" "f"
"550" NA NA "N/A" "f"
"551" 100 100 "within a day" "f"
"552" 100 83 "within a few hours" "f"
"553" 100 86 "within a day" "f"
"554" NA NA "N/A" "f"
"555" 100 64 "within an hour" "t"
"556" 100 100 "within a day" "f"
"557" 100 50 "within a day" "f"
"558" NA NA "N/A" "f"
"559" 70 100 "within a few hours" "f"
"560" NA NA "N/A" "f"
"561" 100 92 "within an hour" "f"
"562" NA NA "N/A" "f"
"563" NA NA "N/A" "f"
"564" 100 NA "within a day" "f"
"565" 100 61 "within an hour" "f"
"566" NA NA "N/A" "f"
"567" 100 100 "within an hour" "f"
"568" 100 NA "within a day" "f"
"569" 83 50 "within a day" "f"
"570" NA NA "N/A" "f"
"571" 100 50 "within an hour" "f"
"572" NA NA "N/A" "f"
"573" 97 100 "within an hour" "f"
"574" 90 85 "within a few hours" "f"
"575" NA NA "N/A" "f"
"576" 100 88 "within a few hours" "t"
"577" NA NA "N/A" "f"
"578" NA NA "N/A" "f"
"579" NA NA "N/A" "f"
"580" NA NA "N/A" "f"
"581" 100 100 "within an hour" "f"
"582" 100 0 "within a few hours" "f"
"583" 100 100 "within a few hours" "f"
"584" 100 100 "within a day" "f"
"585" 100 100 "within a few hours" "f"
"586" 100 100 "within an hour" "f"
"587" NA NA "N/A" "f"
"588" NA NA "N/A" "f"
"589" 100 40 "within a few hours" "t"
"590" 100 100 "within an hour" "f"
"591" NA NA "N/A" "f"
"592" 100 100 "within an hour" "f"
"593" 100 100 "within an hour" "f"
"594" 100 100 "within a few hours" "f"
"595" NA NA "N/A" "f"
"596" NA NA "N/A" "f"
"597" 80 100 "within a day" "f"
"598" 100 100 "within a few hours" "f"
"599" NA NA "N/A" "f"
"600" 100 100 "within an hour" "f"
"601" NA NA "N/A" "f"
"602" NA NA "N/A" "f"
"603" NA NA "N/A" "f"
"604" NA NA "N/A" "f"
"605" 100 75 "within a few hours" "f"
"606" 100 0 "within a few hours" "f"
"607" 100 NA "within an hour" "f"
"608" 100 75 "within a few hours" "f"
"609" NA NA "N/A" "f"
"610" NA NA "N/A" "f"
"611" 100 0 "within a day" "f"
"612" 100 100 "within an hour" "f"
"613" 90 100 "within an hour" "f"
"614" NA NA "N/A" "f"
"615" 100 93 "within a few hours" "f"
"616" 90 100 "within a few hours" "t"
"617" 100 100 "within an hour" "f"
"618" NA NA "N/A" "f"
"619" 100 100 "within an hour" "f"
"620" 100 100 "within a few hours" "f"
"621" 100 100 "within a few hours" "f"
"622" 100 100 "within an hour" "f"
"623" 100 100 "within an hour" "t"
"624" 100 100 "within an hour" "f"
"625" 100 100 "within an hour" "f"
"626" 100 100 "within an hour" "t"
"627" NA NA "N/A" "f"
"628" 100 96 "within an hour" "f"
"629" 100 96 "within an hour" "f"
"630" 100 100 "within an hour" "f"
"631" 100 100 "within an hour" "f"
"632" NA NA "N/A" "f"
"633" 100 100 "within an hour" "f"
"634" 100 100 "within an hour" "f"
"635" NA NA "N/A" "f"
"636" 100 96 "within an hour" "f"
"637" 100 100 "within an hour" "f"
"638" 100 100 "within an hour" "f"
"639" 100 86 "within a few hours" "f"
"640" 90 100 "within a few hours" "f"
"641" 100 100 "within an hour" "f"
"642" NA NA "N/A" "f"
"643" 100 96 "within an hour" "f"
"644" 100 100 "within an hour" "f"
"645" 100 100 "within an hour" "f"
"646" 90 100 "within a day" "f"
"647" NA NA "N/A" "f"
"648" 100 100 "within an hour" "f"
"649" 100 100 "within an hour" "f"
"650" 100 100 "within an hour" "f"
"651" NA NA "N/A" "f"
"652" NA NA "N/A" "f"
"653" 100 100 "within an hour" "f"
"654" 100 100 "within an hour" "f"
"655" NA NA "N/A" "f"
"656" 100 88 "within a few hours" "f"
"657" 100 100 "within an hour" "f"
"658" 92 100 "within an hour" "f"
"659" 100 97 "within an hour" "f"
"660" 100 96 "within an hour" "f"
"661" 100 100 "within an hour" "f"
"662" 100 50 "within a few hours" "f"
"663" 80 100 "within a day" "f"
"664" 100 100 "within an hour" "t"
"665" 98 100 "within an hour" "f"
"666" 100 100 "within a few hours" "f"
"667" 98 100 "within an hour" "f"
"668" 84 100 "within an hour" "f"
"669" 100 90 "within an hour" "f"
"670" 100 89 "within an hour" "f"
"671" 100 100 "within an hour" "f"
"672" 100 100 "within a few hours" "f"
"673" 100 100 "within a few hours" "t"
"674" 100 89 "within a day" "f"
"675" 100 100 "within an hour" "t"
"676" 80 100 "within a few hours" "f"
"677" 100 100 "within a few hours" "f"
"678" 100 100 "within a few hours" "f"
"679" 80 100 "within a day" "t"
"680" 90 100 "within an hour" "f"
"681" NA NA "N/A" "f"
"682" 100 0 "within an hour" "f"
"683" 100 100 "within an hour" "f"
"684" NA NA "N/A" "f"
"685" 100 100 "within an hour" "t"
"686" NA NA "N/A" "f"
"687" NA NA "N/A" "f"
"688" 80 81 "within a day" "f"
"689" 100 50 "within a day" "f"
"690" 100 100 "within a few hours" "f"
"691" 100 80 "within a few hours" "f"
"692" 100 NA "within a few hours" "f"
"693" 100 82 "within an hour" "f"
"694" NA NA "N/A" "f"
"695" 100 100 "within a few hours" "f"
"696" NA NA "N/A" "f"
"697" 100 100 "within an hour" "f"
"698" 100 97 "within an hour" "f"
"699" 100 100 "within an hour" "f"
"700" 100 NA "within an hour" "f"
"701" 80 80 "within a day" "f"
"702" NA NA "N/A" "f"
"703" 100 100 "within an hour" "f"
"704" 100 100 "within an hour" "f"
"705" 70 67 "within a day" "f"
"706" 100 100 "within a day" "f"
"707" NA NA "N/A" "f"
"708" NA NA "N/A" "f"
"709" NA NA "N/A" "f"
"710" NA NA "N/A" "f"
"711" 100 NA "within a day" "f"
"712" 100 100 "within an hour" "f"
"713" 94 91 "within an hour" "f"
"714" 100 67 "within a few hours" "f"
"715" 100 100 "within an hour" "f"
"716" 100 100 "within a few hours" "f"
"717" 100 100 "within an hour" "f"
"718" 60 100 "within an hour" "f"
"719" 100 100 "within an hour" "f"
"720" 100 100 "within an hour" "f"
"721" 98 100 "within an hour" "f"
"722" 80 100 "within a day" "f"
"723" 100 100 "within an hour" "f"
"724" NA NA "N/A" "f"
"725" 100 75 "within an hour" "f"
"726" 90 100 "within an hour" "f"
"727" NA NA "N/A" "f"
"728" NA NA "N/A" "f"
"729" 100 100 "within an hour" "f"
"730" NA NA "N/A" "f"
"731" NA NA "N/A" "f"
"732" 100 100 "within an hour" "f"
"733" 98 100 "within an hour" "f"
"734" 90 70 "within an hour" "f"
"735" 100 100 "within an hour" "f"
"736" NA NA "N/A" "f"
"737" NA NA "N/A" "f"
"738" 100 100 "within a few hours" "f"
"739" 100 100 "within an hour" "f"
"740" 80 100 "within a day" "f"
"741" 91 83 "within an hour" "f"
"742" 100 100 "within an hour" "f"
"743" NA NA "N/A" "f"
"744" 100 82 "within an hour" "f"
"745" 100 100 "within an hour" "f"
"746" NA NA "N/A" "f"
"747" 100 100 "within an hour" "f"
"748" 100 100 "within a few hours" "f"
"749" 100 100 "within an hour" "f"
"750" NA NA "N/A" "f"
"751" 100 NA "within a few hours" "f"
"752" 81 100 "within a few hours" "f"
"753" 100 83 "within a few hours" "f"
"754" NA NA "N/A" "f"
"755" 85 72 "within a few hours" "f"
"756" 100 67 "within an hour" "f"
"757" NA NA "N/A" "f"
"758" 100 100 "within a few hours" "f"
"759" 100 100 "within an hour" "f"
"760" 100 100 "within an hour" "f"
"761" 89 75 "within a day" "f"
"762" 20 100 "a few days or more" "f"
"763" 100 100 "within an hour" "f"
"764" 100 86 "within a few hours" "f"
"765" 100 100 "within a day" "f"
"766" 100 92 "within an hour" "f"
"767" 96 98 "within an hour" "f"
"768" 50 100 "within a day" "f"
"769" NA NA "N/A" "f"
"770" NA NA "N/A" "f"
"771" 100 83 "within a day" "f"
"772" NA NA "N/A" "f"
"773" NA NA "N/A" "f"
"774" 100 98 "within an hour" "f"
"775" 100 100 "within an hour" "f"
"776" NA NA "N/A" "f"
"777" NA NA "N/A" "f"
"778" NA NA "N/A" "f"
"779" 100 NA "within a day" "f"
"780" 100 100 "within an hour" "f"
"781" NA NA "N/A" "f"
"782" 100 75 "within a few hours" "f"
"783" 70 87 "within a day" "f"
"784" 100 100 "within an hour" "f"
"785" 86 94 "within a day" "f"
"786" 70 50 "within a day" "f"
"787" NA NA "N/A" "f"
"788" 94 100 "within an hour" "f"
"789" 100 NA "within a few hours" "f"
"790" NA NA "N/A" "f"
"791" 100 100 "within an hour" "f"
"792" 100 100 "within a few hours" "f"
"793" NA NA "N/A" "f"
"794" 100 85 "within a few hours" "f"
"795" 100 NA "within a day" "f"
"796" NA NA "N/A" "f"
"797" 100 100 "within an hour" "f"
"798" 90 100 "within a few hours" "f"
"799" 70 0 "within a day" "f"
"800" 100 98 "within an hour" "f"
"801" NA NA "N/A" "f"
